epoch,batch,d_loss,g_loss
2019-04-14 10:31:42,0,0,8.087523460388184,0.16528216004371643
2019-04-14 10:31:42,0,5,-135.24896240234375,2.909632444381714
2019-04-14 10:31:43,0,10,-326.6765441894531,9.579782485961914
2019-04-14 10:31:43,0,15,-445.00604248046875,14.890450477600098
2019-04-14 10:31:44,0,20,-527.693115234375,14.080775260925293
2019-04-14 10:31:44,0,25,-520.0665893554688,16.378154754638672
2019-04-14 10:31:44,0,30,-441.126953125,17.585567474365234
2019-04-14 10:31:45,0,35,-586.09423828125,16.40901756286621
2019-04-14 10:31:45,0,40,-510.1897888183594,11.468461990356445
2019-04-14 10:31:46,0,45,-529.3151245117188,0.7060455679893494
2019-04-14 10:31:46,0,50,-346.53179931640625,-5.4063944816589355
2019-04-14 10:31:46,0,55,-567.0108642578125,-14.061338424682617
2019-04-14 10:31:47,0,60,-370.383544921875,-18.586294174194336
2019-04-14 10:31:47,0,65,-535.7412719726562,-28.796871185302734
2019-04-14 10:31:48,0,70,-351.5762023925781,-29.913066864013672
2019-04-14 10:31:48,0,75,-430.67791748046875,-36.675968170166016
2019-04-14 10:31:48,0,80,-469.5576171875,-42.40596008300781
2019-04-14 10:31:49,0,85,-513.5366821289062,-54.04631423950195
2019-04-14 10:31:49,0,90,-479.0235595703125,-55.80428695678711
2019-04-14 10:31:50,0,95,-420.843994140625,-56.30917739868164
2019-04-14 10:31:50,0,100,-484.59796142578125,-70.45428466796875
2019-04-14 10:31:50,0,105,-546.1856079101562,-80.30927276611328
2019-04-14 10:31:51,0,110,-464.2288818359375,-83.12359619140625
2019-04-14 10:31:51,0,115,-397.5874328613281,-86.61505126953125
2019-04-14 10:31:52,0,120,-362.160888671875,-91.94322204589844
2019-04-14 10:31:52,0,125,-429.7962646484375,-105.43318939208984
2019-04-14 10:31:52,0,130,-382.50494384765625,-104.38032531738281
2019-04-14 10:31:53,0,135,-424.7569274902344,-120.4585189819336
2019-04-14 10:31:53,0,140,-282.0504455566406,-125.87699890136719
2019-04-14 10:31:54,0,145,-438.78289794921875,-137.47039794921875
2019-04-14 10:31:54,0,150,-403.8160400390625,-131.19912719726562
2019-04-14 10:31:54,0,155,-382.32379150390625,-148.76510620117188
2019-04-14 10:31:55,0,160,-331.7311706542969,-142.80125427246094
2019-04-14 10:31:55,0,165,-141.11993408203125,-147.74803161621094
2019-04-14 10:31:56,0,170,-354.9313659667969,-171.1204376220703
2019-04-14 10:31:56,0,175,-365.18798828125,-171.50262451171875
2019-04-14 10:31:56,0,180,-352.49493408203125,-175.4568328857422
2019-04-14 10:31:57,0,185,-10.046356201171875,-157.37344360351562
2019-04-14 10:31:57,0,190,-259.92730712890625,-184.26535034179688
2019-04-14 10:31:58,0,195,-298.011474609375,-176.93130493164062
2019-04-14 10:31:58,0,200,-281.0303955078125,-185.892578125
2019-04-14 10:31:58,0,205,-294.8642272949219,-189.26577758789062
2019-04-14 10:31:59,0,210,-268.7736511230469,-201.9290771484375
2019-04-14 10:31:59,0,215,-292.4775695800781,-214.19418334960938
2019-04-14 10:32:00,0,220,-240.6983642578125,-189.0166473388672
2019-04-14 10:32:00,0,225,-178.25518798828125,-192.2950439453125
2019-04-14 10:32:00,0,230,-182.57122802734375,-192.6202392578125
2019-04-14 10:32:01,0,235,-240.56069946289062,-206.55661010742188
2019-04-14 10:32:01,0,240,-199.98895263671875,-197.06002807617188
2019-04-14 10:32:02,0,245,-218.28903198242188,-210.56277465820312
2019-04-14 10:32:02,0,250,-203.67364501953125,-198.08084106445312
2019-04-14 10:32:02,0,255,-223.01422119140625,-232.63095092773438
2019-04-14 10:32:03,0,260,-106.29112243652344,-185.13778686523438
2019-04-14 10:32:03,0,265,-119.28079986572266,-201.11798095703125
2019-04-14 10:32:04,0,270,-172.1613311767578,-207.2135009765625
2019-04-14 10:32:04,0,275,-61.222679138183594,-198.902099609375
2019-04-14 10:32:04,0,280,-171.1504364013672,-218.52700805664062
2019-04-14 10:32:05,0,285,-140.39845275878906,-182.22900390625
2019-04-14 10:32:05,0,290,-152.45877075195312,-161.068359375
2019-04-14 10:32:06,0,295,-169.4046173095703,-200.84515380859375
2019-04-14 10:32:06,0,300,-173.02745056152344,-186.8275146484375
2019-04-14 10:32:06,0,305,-160.83816528320312,-191.54510498046875
2019-04-14 10:32:07,0,310,-164.52780151367188,-216.52584838867188
2019-04-14 10:32:07,0,315,-142.90585327148438,-216.9144287109375
2019-04-14 10:32:08,0,320,-138.4036865234375,-162.73611450195312
2019-04-14 10:32:08,0,325,-135.49130249023438,-146.53053283691406
2019-04-14 10:32:08,0,330,-127.4295425415039,-155.900390625
2019-04-14 10:32:09,0,335,-123.92156219482422,-157.88302612304688
2019-04-14 10:32:09,0,340,-157.2571563720703,-134.34877014160156
2019-04-14 10:32:10,0,345,-140.89492797851562,-116.9990234375
2019-04-14 10:32:10,0,350,-128.30433654785156,-161.33346557617188
2019-04-14 10:32:10,0,355,-136.03082275390625,-92.36659240722656
2019-04-14 10:32:11,0,360,-129.94595336914062,-34.477806091308594
2019-04-14 10:32:11,0,365,-140.4217987060547,-72.08216857910156
2019-04-14 10:32:12,0,370,-177.15078735351562,-140.68185424804688
2019-04-14 10:32:12,0,375,-100.47689819335938,-131.40260314941406
2019-04-14 10:32:12,0,380,-162.1847686767578,-109.17742919921875
2019-04-14 10:32:13,0,385,-189.90609741210938,-133.96463012695312
2019-04-14 10:32:13,0,390,-82.61724090576172,-156.82302856445312
2019-04-14 10:32:14,0,395,-123.5567398071289,-208.00827026367188
2019-04-14 10:32:14,0,400,-122.89497375488281,-107.50391387939453
2019-04-14 10:32:14,0,405,-94.51214599609375,-60.82008361816406
2019-04-14 10:32:15,0,410,-116.08396911621094,-84.57320404052734
2019-04-14 10:32:15,0,415,-87.00917053222656,-177.35311889648438
2019-04-14 10:32:16,0,420,-196.44668579101562,-94.04890441894531
2019-04-14 10:32:16,0,425,-167.51515197753906,-145.5763397216797
2019-04-14 10:32:16,0,430,-91.93986511230469,-154.04638671875
2019-04-14 10:32:17,0,435,-192.1620635986328,-156.54129028320312
2019-04-14 10:32:17,0,440,-148.02566528320312,29.49402618408203
2019-04-14 10:32:18,0,445,-130.37966918945312,-134.08822631835938
2019-04-14 10:32:18,0,450,-143.08123779296875,-110.71891784667969
2019-04-14 10:32:18,0,455,-63.31861114501953,-97.07981872558594
2019-04-14 10:32:19,0,460,-99.07572937011719,-97.24300384521484
2019-04-14 10:32:19,0,465,-23.43140411376953,-150.65240478515625
2019-04-14 10:32:20,0,470,-25.144935607910156,-161.16168212890625
2019-04-14 10:32:20,0,475,13.560859680175781,-164.86209106445312
2019-04-14 10:32:20,0,480,-71.83663177490234,-70.83346557617188
2019-04-14 10:32:21,0,485,-121.15144348144531,-47.46443176269531
2019-04-14 10:32:21,0,490,-54.06827163696289,-25.280080795288086
2019-04-14 10:32:22,0,495,25.135269165039062,-104.97650146484375
2019-04-14 10:32:22,0,500,-97.84599304199219,-57.723533630371094
2019-04-14 10:32:22,0,505,-106.94261169433594,-72.08361053466797
2019-04-14 10:32:23,0,510,-133.53846740722656,-97.6161117553711
2019-04-14 10:32:23,0,515,61.41770935058594,-28.92975616455078
2019-04-14 10:32:24,0,520,-181.48916625976562,-65.30081939697266
2019-04-14 10:32:24,0,525,-54.75661087036133,-79.69873046875
2019-04-14 10:32:24,0,530,-18.12037467956543,-8.225274085998535
2019-04-14 10:32:25,0,535,6.166801452636719,-31.35015869140625
2019-04-14 10:32:25,0,540,-31.93143653869629,45.9619255065918
2019-04-14 10:32:26,0,545,-89.98902893066406,-23.65569496154785
2019-04-14 10:32:26,0,550,-72.89561462402344,66.58020782470703
2019-04-14 10:32:26,0,555,7.042505264282227,-155.16053771972656
2019-04-14 10:32:27,0,560,-81.64671325683594,18.247058868408203
2019-04-14 10:32:27,0,565,57.240684509277344,-49.72209167480469
2019-04-14 10:32:28,0,570,-21.606069564819336,-78.24209594726562
2019-04-14 10:32:28,0,575,-39.515098571777344,-85.04832458496094
2019-04-14 10:32:28,0,580,-37.48646545410156,-91.46511840820312
2019-04-14 10:32:29,0,585,-53.904449462890625,-162.96832275390625
2019-04-14 10:32:29,0,590,-105.30547332763672,-1.9130053520202637
2019-04-14 10:32:30,0,595,-39.01582336425781,-167.24038696289062
2019-04-14 10:32:30,0,600,-58.97998046875,-69.8500747680664
2019-04-14 10:32:30,0,605,-82.67668914794922,-89.78591918945312
2019-04-14 10:32:31,0,610,-67.32866668701172,117.99534606933594
2019-04-14 10:32:31,0,615,-19.506359100341797,114.6865234375
2019-04-14 10:32:32,0,620,-137.23924255371094,217.6058349609375
2019-04-14 10:32:32,0,625,-63.58992004394531,-1.160597801208496
2019-04-14 10:32:32,0,630,-33.46234130859375,83.47672271728516
2019-04-14 10:32:33,0,635,-80.73101806640625,182.90887451171875
2019-04-14 10:32:33,0,640,15.454626083374023,51.39451599121094
2019-04-14 10:32:34,0,645,-48.7423095703125,39.10791015625
2019-04-14 10:32:34,0,650,-9.815071105957031,78.57350158691406
2019-04-14 10:32:34,0,655,-122.39727783203125,-72.5396499633789
2019-04-14 10:32:35,0,660,-51.432777404785156,31.44921112060547
2019-04-14 10:32:35,0,665,-61.67899703979492,71.45135498046875
2019-04-14 10:32:36,0,670,-51.304195404052734,-41.453392028808594
2019-04-14 10:32:36,0,675,-48.30821990966797,15.997127532958984
2019-04-14 10:32:36,0,680,-29.158954620361328,16.399917602539062
2019-04-14 10:32:37,0,685,-41.51449203491211,-36.187255859375
2019-04-14 10:32:37,0,690,-44.107421875,-74.63743591308594
2019-04-14 10:32:38,0,695,-37.57288360595703,-49.64612579345703
2019-04-14 10:32:38,0,700,-29.940338134765625,-78.96534729003906
2019-04-14 10:32:38,0,705,24.122573852539062,-74.59425354003906
2019-04-14 10:32:39,0,710,-20.381221771240234,-91.40215301513672
2019-04-14 10:32:39,0,715,-38.9696159362793,-44.717926025390625
2019-04-14 10:32:40,0,720,-182.99533081054688,-24.907573699951172
2019-04-14 10:32:40,0,725,-80.94468688964844,-47.246246337890625
2019-04-14 10:32:40,0,730,-52.39524459838867,-26.532804489135742
2019-04-14 10:32:41,0,735,-27.383277893066406,-46.317665100097656
2019-04-14 10:32:41,0,740,-54.58997344970703,58.569580078125
2019-04-14 10:32:42,0,745,-78.5150146484375,61.819252014160156
2019-04-14 10:32:42,0,750,-40.017913818359375,-43.18064880371094
2019-04-14 10:32:42,0,755,-160.0139923095703,-7.085264205932617
2019-04-14 10:32:43,0,760,-66.37982177734375,-25.289562225341797
2019-04-14 10:32:43,0,765,-93.90478515625,72.84550476074219
